"participant","expName","session","subsession","timestamp","event","event_block","event_trial","event_click","mx","my","gx","gy","cx","cy","left","right","dist","isSuccess","width"
"335","gRT-dotprobe-2",0,"a",27802.050000002055,"isCalibrating",0,0,0,1085,680,985,595,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",31562.604999999166,"isCalibrating",0,0,1,1083,680,1069,665,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",36559.19500000164,"isCalibrating",0,0,2,1128,641,1166,716,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",37995.0600000011,"isCalibrating",0,0,3,1136,642,1114,662,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",39340.790000002016,"isCalibrating",0,0,4,1141,672,1140,690,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",40507.89500000246,"isCalibrating",0,0,5,1139,684,1151,700,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",41708.31499999986,"isCalibrating",0,0,6,1138,696,1153,690,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",42908.315000000584,"isCalibrating",0,0,7,1128,714,1158,726,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",44388.08500000232,"isCalibrating",0,0,8,1116,726,1127,720,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",45786.11000000092,"isCalibrating",0,0,9,1100,735,1100,670,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",46941.73000000228,"isCalibrating",0,0,10,1080,737,1064,729,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",48074.08000000214,"isCalibrating",0,0,11,1058,737,1048,720,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",49256.96500000049,"isCalibrating",0,0,12,1041,725,1050,712,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",50265.11500000197,"isCalibrating",0,0,13,1027,710,1082,759,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",51274.43499999936,"isCalibrating",0,0,14,1018,693,1052,741,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",52199.54499999949,"isCalibrating",0,0,15,1018,674,1040,704,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",53202.9700000021,"isCalibrating",0,0,16,1022,655,1077,681,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",54299.315000000206,"isCalibrating",0,0,17,1033,637,976,603,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",55314.62499999907,"isCalibrating",0,0,18,1047,626,1047,635,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",56565.395000001445,"isCalibrating",0,0,19,1064,618,1073,675,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",256433.65500000073,"isCalibrating",0,1,0,1088,162,1100,240,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",257385.57500000024,"isCalibrating",0,1,1,1103,166,1034,314,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",258516.97499999864,"isCalibrating",0,1,2,1123,220,1096,214,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",259369.0800000004,"isCalibrating",0,1,3,1140,220,1110,186,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",260355.42499999792,"isCalibrating",0,1,4,1137,235,1129,135,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",261301.74500000066,"isCalibrating",0,1,5,1131,246,1120,292,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",262306.3349999975,"isCalibrating",0,1,6,1126,264,1155,398,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",263269.0599999987,"isCalibrating",0,1,7,1125,264,1216,259,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",264130.7349999988,"isCalibrating",0,1,8,1099,280,1111,199,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",265042.1849999984,"isCalibrating",0,1,9,1068,281,1061,304,1080,225,"75%","25%","nan","nan",142
