"participant","expName","session","subsession","timestamp","event","event_block","event_trial","event_click","mx","my","gx","gy","cx","cy","left","right","dist","isSuccess","width"
"335","gRT-dotprobe-2",0,"a",1449.3100000000559,"isCalibrating",1,0,0,1083,681,1181,471,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",1596.4850000018487,"isCalibrating",1,0,1,1083,681,950,655,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",1721.2800000016578,"isCalibrating",1,0,2,1083,681,1068,724,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",1882.130000001751,"isCalibrating",1,0,3,1083,681,1080,716,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",1983.415000002482,"isCalibrating",1,0,4,1083,681,915,782,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",2121.6149999999907,"isCalibrating",1,0,5,1083,681,1054,558,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",2252.10000000149,"isCalibrating",1,0,6,1083,681,1171,718,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",2382.1400000015274,"isCalibrating",1,0,7,1083,681,1128,571,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",2518.065000000177,"isCalibrating",1,0,8,1083,681,1020,613,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",2636.0800000003073,"isCalibrating",1,0,9,1083,681,1120,665,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",2765.710000003339,"isCalibrating",1,0,10,1083,681,1011,543,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",2909.965000002645,"isCalibrating",1,0,11,1083,681,1051,401,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",3017.745000001043,"isCalibrating",1,0,12,1083,681,1007,580,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",3160.780000002007,"isCalibrating",1,0,13,1083,681,892,697,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",3283.570000003325,"isCalibrating",1,0,14,1083,681,980,832,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",3436.215000001597,"isCalibrating",1,0,15,1083,681,1088,631,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",3565.9450000021607,"isCalibrating",1,0,16,1083,681,1173,504,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",3687.570000001928,"isCalibrating",1,0,17,1083,681,1214,811,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",3784.1300000000047,"isCalibrating",1,0,18,1083,681,977,677,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",3908.0450000001583,"isCalibrating",1,0,19,1083,681,1011,608,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",950902.5049999983,"isCalibrating",1,1,0,1084,227,1075,340,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",951050.6050000003,"isCalibrating",1,1,1,1084,227,1073,293,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",951183.6599999988,"isCalibrating",1,1,2,1084,227,1071,169,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",951315.7849999989,"isCalibrating",1,1,3,1084,227,1073,258,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",951446.645,"isCalibrating",1,1,4,1084,227,1102,283,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",951584.7849999991,"isCalibrating",1,1,5,1084,227,1130,257,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",951730.2249999994,"isCalibrating",1,1,6,1084,227,1116,324,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",951831.1599999979,"isCalibrating",1,1,7,1084,227,1247,201,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",951982.5549999987,"isCalibrating",1,1,8,1084,227,1101,63,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",952121.9199999978,"isCalibrating",1,1,9,1084,227,1154,318,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",952251.4049999991,"isCalibrating",1,1,10,1084,227,974,296,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",952382.1499999976,"isCalibrating",1,1,11,1084,227,1006,294,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",952517.0250000011,"isCalibrating",1,1,12,1084,227,1120,144,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",952657.729999999,"isCalibrating",1,1,13,1084,227,1198,349,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",952782.8799999988,"isCalibrating",1,1,14,1084,227,1124,77,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",952918.0549999983,"isCalibrating",1,1,15,1084,227,1071,251,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",953050.0250000005,"isCalibrating",1,1,16,1084,227,1091,161,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",953185.4149999999,"isCalibrating",1,1,17,1084,227,1128,211,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",953298.1249999976,"isCalibrating",1,1,18,1084,227,1064,366,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",953438.2000000005,"isCalibrating",1,1,19,1084,227,1027,3,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",955076.7400000005,"isCalibrating",1,2,0,715,674,874,586,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",955209.4899999974,"isCalibrating",1,2,1,715,674,971,552,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",955341.2649999991,"isCalibrating",1,2,2,715,674,765,755,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",955474.3799999997,"isCalibrating",1,2,3,715,674,958,706,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",955621.7049999977,"isCalibrating",1,2,4,715,674,732,587,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",955758.9899999985,"isCalibrating",1,2,5,715,674,817,593,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",955863.6899999983,"isCalibrating",1,2,6,715,674,633,622,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",955990.2799999982,"isCalibrating",1,2,7,715,674,534,719,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"a",956121.4849999996,"isCalibrating",1,2,8,715,674,528,674,720,675,"50%","75%","nan","nan",142
