"participant","expName","session","subsession","timestamp","event","event_block","event_trial","event_click","mx","my","gx","gy","cx","cy","left","right","dist","isSuccess","width"
"335","gRT-dotprobe-2",0,"ab",1591602.3099999984,"isCalibrating",2,1,8,1078,210,1099,546,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1591724.194999999,"isCalibrating",2,1,9,1078,210,1089,408,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1591846.1399999978,"isCalibrating",2,1,10,1078,210,1175,287,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1592011.3649999984,"isCalibrating",2,1,11,1078,210,1087,355,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1592219.3499999994,"isCalibrating",2,1,12,1078,210,969,391,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1592506.8050000009,"isCalibrating",2,1,13,1078,210,1092,437,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1592646.8800000004,"isCalibrating",2,1,14,1078,210,1161,398,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1592779.0649999988,"isCalibrating",2,1,15,1078,210,1123,355,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1592973.2750000004,"isCalibrating",2,1,16,1078,210,965,240,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1593143.584999998,"isCalibrating",2,1,17,1078,210,1001,314,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1593270.1349999988,"isCalibrating",2,1,18,1078,210,1041,360,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1593394.2949999983,"isCalibrating",2,1,19,1078,210,1054,311,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1594861.9,"isCalibrating",2,2,0,719,677,830,587,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1594999.9749999987,"isCalibrating",2,2,1,719,677,788,702,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1595228.3099999987,"isCalibrating",2,2,2,719,677,925,812,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1595368.1499999985,"isCalibrating",2,2,3,719,677,890,712,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1595497.9249999996,"isCalibrating",2,2,4,719,677,732,825,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1595626.404999999,"isCalibrating",2,2,5,719,677,816,757,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1595725.9749999975,"isCalibrating",2,2,6,719,677,892,722,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1595857.0849999997,"isCalibrating",2,2,7,719,677,939,714,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1595983.7200000002,"isCalibrating",2,2,8,719,677,917,799,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1596115.9599999993,"isCalibrating",2,2,9,719,677,760,648,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1596242.8599999985,"isCalibrating",2,2,10,719,677,918,690,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1596375.294999998,"isCalibrating",2,2,11,719,677,546,651,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1596468.5199999986,"isCalibrating",2,2,12,719,677,532,621,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1596598.5099999998,"isCalibrating",2,2,13,719,677,675,890,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1597078.2599999984,"isCalibrating",2,2,14,719,676,614,730,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1597210.6549999989,"isCalibrating",2,2,15,719,676,532,751,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1597383.9999999981,"isCalibrating",2,2,16,719,676,823,726,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1597515.3849999988,"isCalibrating",2,2,17,719,676,724,769,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1597607.394999999,"isCalibrating",2,2,18,719,676,789,706,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1597741.4299999983,"isCalibrating",2,2,19,719,676,749,654,720,675,"50%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1599034.739999999,"isCalibrating",2,3,0,723,226,864,157,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1599168.9850000003,"isCalibrating",2,3,1,723,226,780,118,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1599298.780000001,"isCalibrating",2,3,2,723,226,715,246,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1599444.1049999986,"isCalibrating",2,3,3,723,226,824,194,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1599543.6249999984,"isCalibrating",2,3,4,723,226,713,179,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1599682.1249999993,"isCalibrating",2,3,5,723,226,622,145,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1599840.9199999988,"isCalibrating",2,3,6,723,226,789,93,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1599936.784999998,"isCalibrating",2,3,7,723,226,570,350,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1600076.065000001,"isCalibrating",2,3,8,723,226,687,204,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1600300.7099999995,"isCalibrating",2,3,9,723,226,758,313,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1600560.6549999975,"isCalibrating",2,3,10,723,226,778,199,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1600701.9049999982,"isCalibrating",2,3,11,723,226,793,253,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1600961.9949999978,"isCalibrating",2,3,12,723,226,770,265,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1601182.7950000006,"isCalibrating",2,3,13,723,226,780,303,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1601320.2799999998,"isCalibrating",2,3,14,723,226,727,50,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1601491.94,"isCalibrating",2,3,15,723,226,724,289,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1601594.76,"isCalibrating",2,3,16,723,226,789,231,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1601730.5099999977,"isCalibrating",2,3,17,723,226,746,191,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1601865.1199999985,"isCalibrating",2,3,18,723,226,612,212,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1602006.5649999997,"isCalibrating",2,3,19,723,226,714,291,720,225,"50%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1603497.6749999986,"isCalibrating",2,4,0,713,429,566,481,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1603630.8250000002,"isCalibrating",2,4,1,713,429,606,217,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1603782.489999998,"isCalibrating",2,4,2,713,429,567,448,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1603920.5799999982,"isCalibrating",2,4,3,713,429,778,382,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1604024.874999999,"isCalibrating",2,4,4,713,429,788,347,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1604165.965,"isCalibrating",2,4,5,713,429,733,393,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1604309.655000001,"isCalibrating",2,4,6,713,429,761,357,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1604529.050000001,"isCalibrating",2,4,7,713,429,931,383,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1604667.9399999995,"isCalibrating",2,4,8,713,429,969,457,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1604808.140000001,"isCalibrating",2,4,9,713,429,920,444,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1604942.8200000003,"isCalibrating",2,4,10,713,429,867,379,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1605047.419999999,"isCalibrating",2,4,11,713,429,840,364,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1605202.874999999,"isCalibrating",2,4,12,713,429,797,386,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1605346.4600000007,"isCalibrating",2,4,13,713,429,871,502,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1605486.0750000007,"isCalibrating",2,4,14,713,429,836,409,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1605670.194999999,"isCalibrating",2,4,15,713,429,793,524,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1605806.9250000007,"isCalibrating",2,4,16,713,429,721,423,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1605948.225,"isCalibrating",2,4,17,713,429,812,473,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1606088.6499999978,"isCalibrating",2,4,18,713,429,717,295,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1606230.7849999997,"isCalibrating",2,4,19,713,429,685,413,720,450,"50%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1607583.6049999997,"isCalibrating",2,5,0,363,675,352,699,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1607765.1650000007,"isCalibrating",2,5,1,363,675,456,694,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1607865.9249999982,"isCalibrating",2,5,2,363,675,469,740,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1608015.1850000003,"isCalibrating",2,5,3,363,675,359,782,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1608169.0249999992,"isCalibrating",2,5,4,363,675,291,611,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1608307.9149999977,"isCalibrating",2,5,5,363,675,244,594,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1608399.6499999994,"isCalibrating",2,5,6,363,675,351,721,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1608674.9099999978,"isCalibrating",2,5,7,363,675,309,762,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1608812.4150000003,"isCalibrating",2,5,8,363,675,373,774,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1608947.655,"isCalibrating",2,5,9,363,675,175,796,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1609141.8799999992,"isCalibrating",2,5,10,363,675,435,545,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1609282.5549999978,"isCalibrating",2,5,11,363,675,484,752,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1609419.4849999985,"isCalibrating",2,5,12,363,675,458,800,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1609602.9199999976,"isCalibrating",2,5,13,363,675,472,591,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1609720.1749999986,"isCalibrating",2,5,14,363,675,280,675,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1609859.919999999,"isCalibrating",2,5,15,363,675,341,726,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1610005.2250000008,"isCalibrating",2,5,16,363,675,426,766,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1610144.6450000003,"isCalibrating",2,5,17,363,675,298,660,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1610241.6049999993,"isCalibrating",2,5,18,363,675,333,602,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1610429.5600000005,"isCalibrating",2,5,19,363,675,335,678,360,675,"25%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1611715.3450000004,"isCalibrating",2,6,0,359,455,441,600,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1611861.0000000007,"isCalibrating",2,6,1,359,455,562,631,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1612004.2150000008,"isCalibrating",2,6,2,359,455,369,616,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1612146.0349999978,"isCalibrating",2,6,3,359,455,440,611,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1612241.1150000007,"isCalibrating",2,6,4,359,455,355,466,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1612560.129999998,"isCalibrating",2,6,5,359,455,473,746,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1612662.014999998,"isCalibrating",2,6,6,359,455,288,443,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1612759.79,"isCalibrating",2,6,7,359,455,281,480,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1612956.7949999983,"isCalibrating",2,6,8,359,455,439,456,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1613060.2099999997,"isCalibrating",2,6,9,359,455,463,440,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1613203.1949999982,"isCalibrating",2,6,10,359,455,625,785,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1613300.69,"isCalibrating",2,6,11,359,455,471,497,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1613485.7049999991,"isCalibrating",2,6,12,359,455,444,204,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1613581.7900000003,"isCalibrating",2,6,13,359,455,579,330,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1613858.5249999997,"isCalibrating",2,6,14,359,455,153,482,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1614000.3499999985,"isCalibrating",2,6,15,359,455,349,582,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1614143.5999999994,"isCalibrating",2,6,16,359,455,249,335,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1614242.9599999995,"isCalibrating",2,6,17,359,455,624,257,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1614383.9899999984,"isCalibrating",2,6,18,359,455,432,423,360,450,"25%","50%","nan","nan",142
